genres,total_releases,avg_median_playtime
Action;Indie,1852,75.0
Casual;Indie,1482,49.0
Action;Adventure;Indie,1229,66.0
Adventure;Indie,1170,88.0
Action;Casual;Indie,1004,54.0
Action,843,189.0
Adventure;Casual;Indie,801,142.0
Indie,759,36.0
Casual,560,31.0
Adventure,535,96.0
Adventure;Casual,506,37.0
Strategy,485,210.0
Action;Adventure;Casual;Indie,475,132.0
Adventure;Indie;RPG,449,95.0
Casual;Indie;Strategy,445,72.0
Casual;Indie;Simulation,377,35.0
Indie;Strategy,364,122.0
Action;Adventure,363,295.0
Action;Adventure;Indie;RPG,330,215.0
Simulation,328,218.0